sub_id,date_time,session,first_4x4_grid_movement_time,first_4x4_grid_response_time,mean_4x4_grid_accuracy_entirely_correct,mean_4x4_grid_accuracy_irrespective_of_order,mean_4x4_grid_accuracy_respective_of_order,mean_4x4_grid_movement_time,mean_4x4_grid_response_time,mean_number_of_responses,mean_time_remaining_after_last_response,4x4_grid_omission_rate,proportion_feedback,attention_check_mean_accuracy
s832101,07/18/2026,1,949.2083333333334,4093.4166666666665,,0.5625,0.53125,397.0323949938163,2461.0,2.5416666666666665,893.25,0.0,1.0,1.0
s832102,07/18/2026,1,768.25,3396.9583333333335,0.8181818181818182,0.7916666666666666,0.7083333333333334,323.84022334877596,1844.361111111111,3.4583333333333335,746.9166666666666,0.0,1.0,1.0
s832103,07/18/2026,1,900.2916666666666,3880.875,0.5,0.6875,0.6458333333333334,379.94411366981313,2288.3020833333335,2.8333333333333335,749.5833333333334,0.0,1.0,1.0
s832104,07/18/2026,1,800.0,3697.0434782608695,0.5,0.6458333333333334,0.5625,380.2013321735323,2330.5289855072465,2.8260869565217392,890.8333333333334,0.041666666666666664,1.0,1.0
s832105,07/18/2026,1,776.7916666666666,3625.5416666666665,0.3333333333333333,0.7708333333333334,0.5729166666666666,340.2796820110288,2028.3368055555557,3.25,708.4166666666666,0.0,1.0,1.0
s832106,07/19/2026,1,888.125,3638.5416666666665,0.7142857142857143,0.75,0.6770833333333334,347.4429054383583,2119.5208333333335,3.0833333333333335,747.7916666666666,0.0,1.0,1.0
s832107,07/19/2026,1,715.2916666666666,3054.2916666666665,0.4375,0.8333333333333334,0.7291666666666666,295.1855754408529,1646.9861111111113,3.6666666666666665,1033.4583333333333,0.0,1.0,1.0
s832108,07/19/2026,1,767.5652173913044,3864.913043478261,,0.6458333333333334,0.6041666666666666,370.3651315789474,2289.108695652174,2.782608695652174,1008.4166666666666,0.041666666666666664,1.0,1.0
s832109,07/19/2026,1,868.4347826086956,3471.695652173913,0.625,0.6875,0.6145833333333334,350.6158409397321,1996.3260869565215,3.217391304347826,1104.4583333333333,0.041666666666666664,1.0,1.0
s832110,07/19/2026,1,730.6666666666666,3341.0416666666665,0.46153846153846156,0.7395833333333334,0.6666666666666666,323.45829120492016,1785.9444444444443,3.5,935.0833333333334,0.0,1.0,1.0
s832111,07/19/2026,1,944.2916666666666,3858.625,1.0,0.6145833333333334,0.5729166666666666,390.28199089942996,2359.315972222222,2.75,693.4166666666666,0.0,1.0,1.0
s832112,07/19/2026,1,766.9166666666666,3436.9583333333335,0.5384615384615384,0.8125,0.6979166666666666,334.9104424351999,1848.6909722222224,3.5,707.4166666666666,0.0,1.0,1.0
s832113,07/19/2026,1,920.5217391304348,4194.608695652174,0.5,0.5833333333333334,0.5,385.0570492460905,2480.5144927536235,2.652173913043478,1000.2916666666666,0.041666666666666664,1.0,1.0
s832114,07/19/2026,1,543.875,2734.2083333333335,0.6956521739130435,0.9583333333333334,0.84375,266.65400200483214,1433.3298611111113,3.9583333333333335,1323.8333333333333,0.0,0.5,1.0
s832115,07/19/2026,1,916.3181818181819,4027.0,,0.5625,0.4375,392.18923273637415,2399.727272727273,2.727272727272727,1126.875,0.08333333333333333,1.0,1.0
s832116,07/19/2026,1,866.875,3932.9583333333335,1.0,0.6770833333333334,0.6666666666666666,387.80769338071485,2327.902777777778,2.7916666666666665,702.1666666666666,0.0,1.0,1.0
s832117,07/19/2026,1,1013.9166666666666,3915.625,,0.65625,0.59375,400.34683883421786,2388.9583333333335,2.7083333333333335,684.625,0.0,1.0,1.0
s832118,07/19/2026,1,616.5,2826.3333333333335,0.5909090909090909,0.90625,0.78125,268.8014732721465,1462.9444444444446,3.9166666666666665,1277.4166666666667,0.0,1.0,1.0
s832119,07/19/2026,1,912.6086956521739,3657.8695652173915,0.3333333333333333,0.59375,0.4166666666666667,364.93447637636285,2185.7391304347825,2.9130434782608696,1093.8333333333333,0.041666666666666664,1.0,1.0
s832120,07/19/2026,1,888.2083333333334,3797.375,0.6666666666666666,0.7395833333333334,0.6458333333333334,353.6789950519681,2128.375,3.0833333333333335,682.2083333333334,0.0,1.0,1.0
