sub_id,date_time,session,na_accuracy,na_omission_rate,na_rt,task_stay_cue_stay_accuracy,task_stay_cue_stay_omission_rate,task_stay_cue_stay_rt,task_stay_cue_switch_accuracy,task_stay_cue_switch_omission_rate,task_stay_cue_switch_rt,task_switch_cue_switch_accuracy,task_switch_cue_switch_omission_rate,task_switch_cue_switch_rt,color_accuracy,form_accuracy,proportion_feedback,attention_check_mean_accuracy
s831601,07/18/2026,1,1.0,0.0,700.0,0.9791666666666666,0.0,604.9787234042553,0.9791666666666666,0.0,508.25531914893617,0.9895833333333334,0.010416666666666666,617.9368421052632,0.9887640449438202,0.9904761904761905,0.0,1.0
s831602,07/18/2026,1,0.6666666666666666,0.3333333333333333,568.5,0.9375,0.020833333333333332,600.8,0.9375,0.041666666666666664,599.4444444444445,0.9166666666666666,0.041666666666666664,610.6818181818181,0.9583333333333334,0.967032967032967,0.5,0.6666666666666666
s831603,07/18/2026,1,0.6666666666666666,0.0,701.5,0.9375,0.0,579.8222222222222,0.9166666666666666,0.0,551.5227272727273,0.9270833333333334,0.0,556.7191011235955,0.925531914893617,0.9207920792079208,0.0,1.0
s831604,07/18/2026,1,0.3333333333333333,0.6666666666666666,537.0,0.9791666666666666,0.020833333333333332,548.4255319148937,0.9375,0.020833333333333332,595.8222222222222,0.9583333333333334,0.020833333333333332,567.3478260869565,0.979381443298969,0.9782608695652174,0.0,0.6666666666666666
s831605,07/18/2026,1,1.0,0.0,570.6666666666666,0.875,0.0,586.9047619047619,0.8333333333333334,0.041666666666666664,579.85,0.875,0.010416666666666666,553.5952380952381,0.8737864077669902,0.8876404494382022,0.0,0.6666666666666666
s831606,07/19/2026,1,1.0,0.0,723.0,0.9583333333333334,0.0,667.5652173913044,0.9375,0.0,718.7555555555556,0.9583333333333334,0.0,690.054347826087,0.963963963963964,0.9404761904761905,0.0,0.6666666666666666
s831607,07/19/2026,1,1.0,0.0,593.3333333333334,0.875,0.0,549.4761904761905,0.9166666666666666,0.0,557.0227272727273,0.9270833333333334,0.010416666666666666,573.8539325842696,0.9032258064516129,0.9306930693069307,0.0,1.0
s831608,07/19/2026,1,1.0,0.0,659.6666666666666,0.9791666666666666,0.0,622.0212765957447,0.9166666666666666,0.0,646.2272727272727,0.9479166666666666,0.0,659.4505494505495,0.9363636363636364,0.9647058823529412,0.0,1.0
s831609,07/19/2026,1,1.0,0.0,466.0,0.9791666666666666,0.0,483.9148936170213,0.9375,0.0,471.46666666666664,0.9375,0.010416666666666666,492.9888888888889,0.9361702127659575,0.97,0.0,1.0
s831610,07/19/2026,1,1.0,0.0,781.6666666666666,0.8958333333333334,0.0,649.9069767441861,0.9166666666666666,0.020833333333333332,597.1590909090909,0.8854166666666666,0.0,671.035294117647,0.898876404494382,0.9047619047619048,0.0,1.0
s831611,07/19/2026,1,1.0,0.0,758.3333333333334,0.8333333333333334,0.0625,732.825,0.8958333333333334,0.020833333333333332,711.7906976744187,0.8958333333333334,0.052083333333333336,748.7441860465116,0.9411764705882353,0.9047619047619048,0.0,1.0
s831612,07/19/2026,1,1.0,0.0,626.3333333333334,0.9583333333333334,0.0,594.4347826086956,0.9375,0.0,579.6888888888889,0.96875,0.020833333333333332,557.5376344086021,1.0,0.9361702127659575,0.0,1.0
s831613,07/19/2026,1,0.6666666666666666,0.3333333333333333,437.5,0.9375,0.020833333333333332,523.0222222222222,0.875,0.020833333333333332,545.8809523809524,0.9375,0.020833333333333332,552.9777777777778,0.9578947368421052,0.9263157894736842,0.0,1.0
s831614,07/19/2026,1,1.0,0.0,627.6666666666666,0.9375,0.041666666666666664,633.3333333333334,0.9791666666666666,0.0,631.3191489361702,0.9166666666666666,0.020833333333333332,596.1818181818181,0.9587628865979382,0.9574468085106383,0.0,1.0
s831615,07/19/2026,1,0.6666666666666666,0.0,538.0,0.9375,0.0,573.8,0.9166666666666666,0.0,586.9090909090909,0.9375,0.0,604.7555555555556,0.9278350515463918,0.9285714285714286,0.0,1.0
s831616,07/19/2026,1,1.0,0.0,429.0,0.9166666666666666,0.0,447.4318181818182,0.9791666666666666,0.0,467.0,0.90625,0.020833333333333332,462.6551724137931,0.9479166666666666,0.9278350515463918,0.0,1.0
s831617,07/19/2026,1,1.0,0.0,951.0,0.9166666666666666,0.020833333333333332,682.4318181818181,0.875,0.041666666666666664,662.7857142857143,0.9375,0.03125,684.1111111111111,0.9302325581395349,0.9611650485436893,0.0,0.6666666666666666
s831618,07/19/2026,1,1.0,0.0,569.0,0.9791666666666666,0.0,540.5957446808511,0.9583333333333334,0.041666666666666664,567.3478260869565,0.9166666666666666,0.010416666666666666,539.5568181818181,0.9693877551020408,0.9468085106382979,0.0,1.0
s831619,07/19/2026,1,1.0,0.0,578.6666666666666,0.9791666666666666,0.0,630.1702127659574,0.9583333333333334,0.0,628.3913043478261,0.8958333333333334,0.010416666666666666,631.9302325581396,0.9081632653061225,0.96875,0.0,1.0
s831620,07/19/2026,1,0.6666666666666666,0.3333333333333333,414.5,0.9583333333333334,0.020833333333333332,539.0217391304348,0.9583333333333334,0.020833333333333332,569.7608695652174,0.90625,0.041666666666666664,549.2758620689655,0.9540229885057471,0.9702970297029703,0.0,0.6666666666666666
