sub_id,date_time,session,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,proportion_feedback,attention_check_mean_accuracy
s831701,07/18/2026,1,0.9916666666666667,0.0,448.5966386554622,448.46666666666664,360.3125,0.4666666666666667,450.0,218.05555555555554,50.0,250.0,0.0,1.0
s831702,07/18/2026,1,0.9583333333333334,0.016666666666666666,534.0782608695653,540.0,451.4516129032258,0.48333333333333334,400.0,268.05555555555554,200.0,250.0,0.0,1.0
s831703,07/18/2026,1,0.925,0.041666666666666664,561.4234234234234,560.991304347826,511.4193548387097,0.48333333333333334,500.0,340.0,250.0,250.0,0.0,1.0
s831704,07/18/2026,1,0.9666666666666667,0.025,620.4655172413793,620.8888888888889,507.19354838709677,0.48333333333333334,450.0,327.77777777777777,150.0,250.0,0.0,1.0
s831705,07/18/2026,1,0.95,0.008333333333333333,577.3771929824561,580.6722689075631,515.5,0.4666666666666667,400.0,306.1111111111111,150.0,150.0,0.0,1.0
s831706,07/19/2026,1,0.9333333333333333,0.025,535.7410714285714,534.7948717948718,450.2903225806452,0.48333333333333334,400.0,257.5,150.0,250.0,0.0,1.0
s831707,07/19/2026,1,0.925,0.016666666666666666,587.3513513513514,585.9067796610169,491.6551724137931,0.5166666666666667,550.0,356.94444444444446,200.0,450.0,0.0,1.0
s831708,07/19/2026,1,0.925,0.041666666666666664,565.8648648648649,567.2521739130435,511.3939393939394,0.45,550.0,318.6111111111111,200.0,250.0,0.0,1.0
s831709,07/19/2026,1,0.9333333333333333,0.025,514.2232142857143,512.6666666666666,430.65625,0.4666666666666667,450.0,262.22222222222223,150.0,250.0,0.0,1.0
s831710,07/19/2026,1,0.9,0.016666666666666666,485.01851851851853,485.3728813559322,387.125,0.4666666666666667,550.0,196.11111111111111,0.0,350.0,0.0,1.0
s831711,07/19/2026,1,0.975,0.0,597.9316239316239,596.8833333333333,501.96875,0.4666666666666667,600.0,405.0,300.0,400.0,0.0,1.0
s831712,07/19/2026,1,0.9666666666666667,0.008333333333333333,501.3448275862069,499.02521008403363,441.28125,0.4666666666666667,450.0,249.44444444444446,150.0,250.0,0.0,1.0
s831713,07/19/2026,1,0.975,0.025,486.5128205128205,486.5128205128205,458.64516129032256,0.48333333333333334,350.0,263.3333333333333,150.0,200.0,0.0,1.0
s831714,07/19/2026,1,0.9666666666666667,0.016666666666666666,587.5172413793103,591.4661016949152,502.0,0.5166666666666667,500.0,326.6666666666667,150.0,400.0,0.0,1.0
s831715,07/19/2026,1,0.9666666666666667,0.016666666666666666,611.6379310344828,609.7372881355932,510.48387096774195,0.48333333333333334,500.0,374.44444444444446,300.0,300.0,0.0,1.0
s831716,07/19/2026,1,0.9916666666666667,0.008333333333333333,576.5966386554621,576.5966386554621,482.7096774193548,0.48333333333333334,450.0,278.05555555555554,150.0,200.0,0.0,1.0
s831717,07/19/2026,1,0.9416666666666667,0.025,537.9646017699115,538.3931623931624,488.59375,0.4666666666666667,450.0,319.72222222222223,200.0,250.0,0.0,1.0
s831718,07/19/2026,1,0.975,0.0,605.8547008547008,605.6333333333333,528.15625,0.4666666666666667,550.0,410.27777777777777,300.0,350.0,0.0,1.0
s831719,07/19/2026,1,0.9583333333333334,0.008333333333333333,580.7826086956521,580.109243697479,501.59375,0.4666666666666667,500.0,297.22222222222223,150.0,300.0,0.0,1.0
s831720,07/19/2026,1,0.95,0.008333333333333333,647.5964912280701,643.1680672268908,583.7741935483871,0.48333333333333334,550.0,434.44444444444446,300.0,350.0,0.0,1.0
